HourOfDay,SpendTier,Class,Transaction_Count,Total_Amount_USD,Avg_Amount_USD
0,1. Micro (< $10),0,3516,12516.21,3.56
0,1. Micro (< $10),1,3,10.39,3.46
0,2. Low ($10 - $100),0,3089,113843.94,36.85
0,3. Medium ($100 - $500),0,951,201574.7,211.96
0,3. Medium ($100 - $500),1,1,451.27,451.27
0,4. High ($500 - $1000),0,95,64904.62,683.21
0,4. High ($500 - $1000),1,2,1358.41,679.2
0,5. Very High (> $1000),0,38,69548.72,1830.23
1,1. Micro (< $10),0,1460,6559.09,4.49
1,1. Micro (< $10),1,3,8.99,3.0
1,2. Low ($10 - $100),0,2140,78538.08,36.7
1,2. Low ($10 - $100),1,4,168.45,42.11
1,3. Medium ($100 - $500),0,538,113266.35,210.53
1,3. Medium ($100 - $500),1,2,501.15,250.58
1,4. High ($500 - $1000),0,52,35325.74,679.34
1,4. High ($500 - $1000),1,1,600.73,600.73
1,5. Very High (> $1000),0,20,29356.87,1467.84
2,1. Micro (< $10),0,1246,4539.45,3.64
2,1. Micro (< $10),1,34,49.55,1.46
2,2. Low ($10 - $100),0,1550,54549.81,35.19
2,2. Low ($10 - $100),1,14,660.4,47.17
2,3. Medium ($100 - $500),0,420,88254.55,210.13
2,3. Medium ($100 - $500),1,7,1426.87,203.84
2,4. High ($500 - $1000),0,32,23139.38,723.11
2,4. High ($500 - $1000),1,1,571.48,571.48
2,5. Very High (> $1000),0,23,58819.51,2557.37
2,5. Very High (> $1000),1,1,1809.68,1809.68
3,1. Micro (< $10),0,942,4647.02,4.93
3,1. Micro (< $10),1,15,23.86,1.59
3,2. Low ($10 - $100),0,2159,63238.49,29.29
3,2. Low ($10 - $100),1,1,30.39,30.39
3,3. Medium ($100 - $500),0,324,66132.46,204.11
3,3. Medium ($100 - $500),1,1,179.66,179.66
3,4. High ($500 - $1000),0,33,22767.56,689.93
3,5. Very High (> $1000),0,17,24832.72,1460.75
4,1. Micro (< $10),0,570,2626.71,4.61
4,1. Micro (< $10),1,16,29.86,1.87
4,2. Low ($10 - $100),0,1288,40770.75,31.65
4,2. Low ($10 - $100),1,2,33.43,16.71
4,3. Medium ($100 - $500),0,272,64213.77,236.08
4,3. Medium ($100 - $500),1,4,718.55,179.64
4,4. High ($500 - $1000),0,42,27977.04,666.12
4,4. High ($500 - $1000),1,1,766.36,766.36
4,5. Very High (> $1000),0,14,33042.76,2360.2
5,1. Micro (< $10),0,1088,4312.18,3.96
5,1. Micro (< $10),1,9,9.0,1.0
5,2. Low ($10 - $100),0,1598,45279.13,28.33
5,3. Medium ($100 - $500),0,249,56256.55,225.93
5,3. Medium ($100 - $500),1,1,188.78,188.78
5,4. High ($500 - $1000),0,30,20409.52,680.32
5,5. Very High (> $1000),0,14,23846.13,1703.3
5,5. Very High (> $1000),1,1,1218.89,1218.89
6,1. Micro (< $10),0,1678,5584.18,3.33
6,1. Micro (< $10),1,5,5.88,1.18
6,2. Low ($10 - $100),0,1867,64808.62,34.71
6,2. Low ($10 - $100),1,2,180.21,90.1
6,3. Medium ($100 - $500),0,449,96462.37,214.84
6,3. Medium ($100 - $500),1,1,186.13,186.13
6,4. High ($500 - $1000),0,73,52383.14,717.58
6,4. High ($500 - $1000),1,1,635.1,635.1
6,5. Very High (> $1000),0,25,46566.57,1862.66
